Timestamp	Type	X	Y	Z
140713302	ACC	-3.6511576	3.2680852	8.577228
140713313	ACC	-2.4708161	0.736217	9.890448
140713322	ACC	-2.1918917	-0.48841715	11.523293
140713333	ACC	-2.1918917	-0.038307227	12.149377
140713342	ACC	-1.9955671	0.79248077	11.226412
140713353	ACC	-2.1152773	1.0833763	8.677784
140713362	ACC	-4.461595	1.2521675	13.781025
140713373	ACC	-4.378995	0.93732995	17.092205
140713383	ACC	-2.7569232	2.0326772	10.649409
140713392	ACC	-2.7222073	3.7924154	12.151771
140713402	ACC	-4.6519337	3.1950622	12.115858
140713412	ACC	-5.1918263	2.0805612	7.393295
140713422	ACC	-5.398925	1.7908629	7.07726
140713433	ACC	-5.543774	2.6874914	7.1275387
140713442	ACC	-6.0381765	3.406949	6.679823
140713453	ACC	-6.385336	3.5685577	6.4032927
140713462	ACC	-6.3901243	3.6846764	5.365406
140713473	ACC	-5.7987566	3.655946	4.5154643
140713482	ACC	-5.505467	4.2078094	4.7429137
140713493	ACC	-6.009446	5.395334	5.1642933
140713502	ACC	-6.2979474	5.7867856	5.0026846
140713513	ACC	-6.0980315	5.4444146	4.957195
140713523	ACC	-5.2959743	5.0182467	4.8997335
140713533	ACC	-4.83509	4.8602295	4.7405195
140713541	ACC	-4.775235	4.984728	4.831499
140713552	ACC	-5.294777	5.368997	4.7321396
140713562	ACC	-5.771223	5.74369	4.799177
140713572	ACC	-5.5940523	5.60722	5.2852
140713582	ACC	-5.386954	5.151125	5.722142
140713593	ACC	-4.735731	5.040992	5.5018754
140713602	ACC	-4.3167458	5.121197	5.9064956
140713613	ACC	-4.417302	5.3115363	6.7839704
140713622	ACC	-4.547786	5.1439424	7.893683
140713633	ACC	-4.2281604	4.88058	8.978256
140713642	ACC	-3.8259344	4.3035774	8.949526
140713653	ACC	-3.810372	3.8187518	8.74961
140713662	ACC	-4.0916905	3.1747115	8.016984
140713673	ACC	-3.406949	3.0310593	5.076905
140713682	ACC	-2.5677812	2.7880478	5.923255
140713693	ACC	-1.8195933	2.468422	8.706514
140713702	ACC	-0.6991069	2.043451	9.722853
140713713	ACC	-0.1388637	1.5490485	9.576807
140713723	ACC	0.2669535	1.62686	8.303091
140713732	ACC	0.6512229	2.0757728	7.1826053
140713741	ACC	1.5334862	1.650802	7.955932
140713752	ACC	4.5394063	0.9828198	10.702082
140713762	ACC	6.2943563	1.1324574	10.241198
140713773	ACC	5.412093	0.9923966	11.334151
140713783	ACC	2.565387	1.5466543	11.633426
140713792	ACC	-0.23463176	1.5263035	10.462662
140713801	ACC	-2.6994624	1.6807296	9.324219
140713813	ACC	-2.598906	1.9955671	4.0318356
140713822	ACC	-3.1842883	2.9233203	1.0402806
140713833	ACC	-3.6260185	3.9588125	0.90141696
140713842	ACC	-2.5210943	4.4759603	3.240552
140713852	ACC	-2.2493525	5.2720323	7.2664022
140713856	ACC	-2.2493525	5.2720323	7.2664022
140713862	ACC	-2.7162218	6.3913217	9.084799
140713872	ACC	-3.3207579	6.906075	9.974244
140713875	ACC	-3.3207579	6.906075	9.974244
140713882	ACC	-1.7441759	3.8055837	9.965864
140713892	ACC	-0.2777274	2.813187	10.8182
140713902	ACC	-0.4429273	3.843891	10.166978
140713913	ACC	-0.39863458	3.6966474	9.235633
140713922	ACC	-0.47644615	3.58412	9.363723
140713933	ACC	-0.5781997	2.871845	9.576807
140713942	ACC	-0.31364042	2.835932	9.340978
140713953	ACC	-0.010773907	3.2561142	9.414001
140713962	ACC	0.01316811	3.0585926	9.287108
140713973	ACC	-0.45489833	2.7700913	9.593566
140713982	ACC	-1.3132197	2.433706	10.469844
140713993	ACC	-0.58777654	2.1416135	9.515755
140714002	ACC	0.2813187	2.1080947	9.543288
140714013	ACC	0.6476316	2.2744915	9.664195
140714022	ACC	0.878672	2.3307555	9.665392
140714033	ACC	0.9696517	2.4001873	9.052477
140714042	ACC	1.0055647	2.6647465	8.626308
140714053	ACC	0.89902276	2.778471	8.312668
140714062	ACC	0.47884035	2.9029696	7.5968018
140714073	ACC	-0.14604631	3.05141	6.220136
140714082	ACC	-0.1400608	3.301604	5.8574142
140714093	ACC	0.8571242	3.70383	7.2185183
140714102	ACC	1.8602947	3.4117374	7.9391727
140714113	ACC	3.2968156	2.480393	7.037756
140714122	ACC	1.9907787	2.871845	9.343372
140714133	ACC	0.94451255	2.6084828	12.452243
140714142	ACC	0.90021986	2.243367	12.326548
140714153	ACC	0.91578215	2.5821466	10.718841
